graph_class,n,p,seed,graph_seed,m_edges,kind,periodic_K,lam0,lam_star_grid,J_star_grid,budget_evals,inner,outer_max,L_vqe,eta0,eta_pow,step_clip,fd_c_frac,auc_id,auc_fd,delta_auc,final_id,final_fd,delta_final
ws,8,0.2,2,7,8,periodic,6,0.8,-4.0,24.702741310465186,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8411114841220553,0.7697384130354353,0.07137307108661994,0.9357840710697879,0.8836757005688114,0.0521083705009765
ws,8,0.2,3,7,8,periodic,6,0.8,-0.7333333333333334,21.365671950867558,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8375829656322102,0.7058868602300469,0.13169610540216337,0.9484724773794584,0.9128044047724033,0.03566807260705507
ws,8,0.35,1,7,8,periodic,6,0.8,4.766666666666666,20.74645299641707,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7614717211171143,0.610066562277502,0.15140515883961225,0.856916653339319,0.7491840910618022,0.10773256227751682
ws,8,0.35,2,7,8,periodic,6,0.8,-0.2999999999999998,20.020619948553254,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8040418773841542,0.7394429412170581,0.06459893616709611,0.9019450512572263,0.8486534174366893,0.05329163382053703
ws,8,0.35,3,7,8,periodic,6,0.8,-0.06666666666666643,23.244958828864352,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.9048948191257742,0.7711046430961278,0.13379017602964638,0.9996088843946058,0.9870990359819789,0.012509848412626923
ws,8,0.5,1,7,16,periodic,6,0.8,1.2000000000000002,31.886232204252238,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8792357812349515,0.8043582611831047,0.07487752005184678,0.963481343604875,0.9306275317097911,0.03285381189508396
ws,8,0.5,2,7,16,periodic,6,0.8,1.333333333333333,34.81539795093266,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8492788699899562,0.7749016869461425,0.07437718304381369,0.922635971445554,0.8624953092044115,0.06014066224114245
ws,8,0.5,3,7,16,periodic,6,0.8,0.9333333333333336,36.80172846223216,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.9055260395141886,0.7941200132750432,0.11140602623914542,0.9858692110586357,0.9801987393923917,0.005670471666244015
ws,8,0.65,1,7,24,periodic,6,0.8,0.033333333333333215,42.61739341349619,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.9036479804456207,0.8247139315587952,0.07893404888682543,0.9979940676384844,0.9796754129451607,0.01831865469332372
ws,8,0.65,2,7,24,periodic,6,0.8,3.0999999999999996,43.918863749950404,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.835358310185954,0.8033858128067548,0.03197249737919916,0.9079530699108301,0.8788877666307243,0.029065303280105814
ws,8,0.65,3,7,24,periodic,6,0.8,1.166666666666667,45.19215592708917,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.9026511812728526,0.8673716676487286,0.03527951362412396,0.9918057148807174,0.9496428415888698,0.04216287329184765
ws,10,0.2,1,7,10,periodic,6,0.8,1.2666666666666666,28.27405369625162,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8262644285087762,0.724543579332776,0.10172084917600022,0.9036476846499538,0.9091050334691926,-0.005457348819238761
ws,10,0.2,2,7,10,periodic,6,0.8,1.0333333333333332,28.144916077999326,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8673210663325434,0.835160891251838,0.032160175080705344,0.9777955121235218,0.9188407520117039,0.05895476011181788
